"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1437681_at",0.470767902703301,6.52704559885086,4.38310499763711,0.000265925392388171,0.839565687640456,-2.43236803621303
"1451128_s_at",0.439649490005834,4.85108687709871,4.25095118870661,0.000364139490299201,0.839565687640456,-2.51858451536742
"1438654_x_at",0.366340203689614,4.63605741930058,4.22008240234374,0.000391891686696275,0.839565687640456,-2.5389612837866
"1435986_x_at",0.264355899771607,8.53008766047439,4.15209063076321,0.000460711983521858,0.839565687640456,-2.584152667837
"1417408_at",0.364951511518514,3.42821642248402,4.08279983959445,0.000543285098552107,0.839565687640456,-2.63063534281063
"1460026_s_at",-0.580903254021329,6.99964353897742,-3.98835844403187,0.000680096484265878,0.839565687640456,-2.69466104911627
"1431899_at",0.354855882012957,4.17537932046347,3.98535623193042,0.000684967651557735,0.839565687640456,-2.69670871024632
"1435892_at",-0.553541898234423,5.00535926883652,-3.98405537947602,0.000687089091371302,0.839565687640456,-2.69759618947772
"1456718_at",0.827499800341609,4.31995463359619,3.93421001053967,0.000773496547995951,0.839565687640456,-2.73170658924177
"1424589_s_at",0.59282501179369,6.03840034622869,3.91009234019177,0.000819103175158627,0.839565687640456,-2.7482828615551
